# cluster_size   prob
0.000000000000000000e+00 6.460256964362893518e-03
1.000000000000000000e+00 6.413500451848649919e-02
2.000000000000000000e+00 2.030307257082236416e-01
3.000000000000000000e+00 3.250652233703980043e-01
4.000000000000000000e+00 2.630486031983026440e-01
5.000000000000000000e+00 1.049504931043966777e-01
6.000000000000000000e+00 2.763250952811284467e-02
7.000000000000000000e+00 4.998821264390397243e-03
8.000000000000000000e+00 6.392676122745667711e-04
9.000000000000000000e+00 3.909473105182507567e-05
