S(Q) d_Q
0.19041 -0.151399
0.21123000000000003 -0.1461416
0.23205 -0.1433317
0.25287 -0.1390414
0.27369 -0.13563499999999998
0.29451 -0.13223189999999999
0.31533 -0.1286752
0.33615 -0.1244193
0.35697 -0.1196187
0.37779 -0.11407590000000001
0.39861009999999997 -0.1080585
0.4194301 -0.101187
0.44025010000000003 -0.09303478
0.4610701 -0.08359389
0.4818901 -0.07314915
0.5027100999999999 -0.06136911
0.5235301 -0.04793335
0.5443501000000001 -0.03281949
0.5651701 -0.01629766
0.5859901 0.002314638
0.6068101 0.02344536
0.6276301 0.04736347
0.6484501 0.07458858
0.6692701 0.10520070000000001
0.6900900999999999 0.14129370000000002
0.7109101 0.1831794
0.7317300999999999 0.23239920000000003
0.7525501 0.28967529999999997
0.7733701 0.35577329999999996
0.7941901 0.43244629999999995
0.8150102 0.5195658
0.8358302 0.6179263
0.8566502 0.7255465999999999
0.8774702 0.8399164000000001
0.8982902 0.9563833
0.9191101999999999 1.068856
0.9399301999999999 1.168958
0.9607502 1.249926
0.9815702 1.306569
1.00239 1.336372
1.02321 1.340847
1.04403 1.324279
1.06485 1.292494
1.0856700000000001 1.252069
1.10649 1.207948
1.12731 1.164568
1.1481299999999999 1.123969
1.16895 1.088022
1.18977 1.0578370000000001
1.21059 1.033341
1.2314100000000001 1.01439
1.25223 1.000419
1.27305 0.9907083000000001
1.29387 0.9846038
1.31469 0.9814546000000001
1.33551 0.9799783999999999
1.35633 0.9793200999999999
1.37715 0.97856
1.3979700000000002 0.9772078000000002
1.41879 0.9741306000000001
1.43961 0.9686469000000001
1.46043 0.9603940999999999
1.48125 0.9490475
1.50207 0.9346339
1.5228899999999999 0.9173357
1.5437100000000001 0.8977303
1.56453 0.8762056
1.58535 0.8533886999999999
1.60617 0.8301572
1.62699 0.8070973000000001
1.6478099999999998 0.7844594
1.6686299999999998 0.7633666
1.68945 0.7440312
1.7102700000000002 0.7268321999999999
1.7310900000000002 0.7118143
1.7519099999999999 0.6990798
1.77273 0.6885777
1.79355 0.6802541
1.81437 0.6742629
1.83519 0.6702435999999999
1.85601 0.6679578
1.87683 0.6674336
1.89765 0.66868
1.9184700000000001 0.6715526999999999
1.9392900000000002 0.6758993000000001
1.9601099999999998 0.6817593000000001
1.9809299999999999 0.6891465999999999
2.00175 0.6977627
2.02257 0.7075667
2.04339 0.7186425000000001
2.0642099999999997 0.7312683000000001
2.0850299999999997 0.7451103
2.10585 0.7598435
2.1266700000000003 0.7758255999999999
2.1474900000000003 0.7930617
2.16831 0.8113398
2.18913 0.8305809000000001
2.20995 0.8507833
2.23077 0.8715645000000001
2.25159 0.8928539000000001
2.272411 0.9146706
2.293231 0.9363113000000001
2.3140509999999996 0.9577733
2.3348709999999997 0.9791462
2.355691 0.9996629000000001
2.3765110000000003 1.018779
2.3973310000000003 1.0365739999999999
2.418151 1.05255
2.438971 1.066555
2.459791 1.07828
2.480611 1.087682
2.501431 1.09479
2.522251 1.099223
2.543071 1.101329
2.563891 1.101307
2.584711 1.099104
2.605531 1.095071
2.6263509999999997 1.089585
2.6471709999999997 1.0827149999999999
2.667991 1.0748950000000002
2.688811 1.0661909999999999
2.7096310000000003 1.056724
2.730451 1.046728
2.751271 1.036413
2.772091 1.0260209999999998
2.792911 1.015595
2.813731 1.00519
2.834551 0.9948829
2.855371 0.9844888
2.876191 0.9742675
2.897011 0.9639976999999998
2.917831 0.9541296999999999
2.9386509999999997 0.9444134
2.9594709999999997 0.9347025999999999
2.980291 0.9253366
3.001111 0.9162808000000001
3.021931 0.9073331
3.042751 0.8986584000000001
3.063571 0.890057
3.084391 0.8818849
3.105211 0.8739508
3.1260310000000002 0.8660610000000001
3.146851 0.8581645
3.167671 0.8505679
3.188491 0.8431401
3.209311 0.8360066999999999
3.230131 0.8290288
3.2509509999999997 0.8223575999999999
3.2717709999999998 0.8156340999999999
3.2925910000000003 0.8091213
3.313411 0.8030263000000001
3.334231 0.7970775999999999
3.355051 0.7912373
3.375871 0.7855659
3.3966910000000006 0.7800733
3.417511 0.7748203
3.438331 0.769717
3.4591510000000003 0.7646116
3.479971 0.7597399
3.5007910000000004 0.7552365
3.521611 0.7508079000000001
3.5424309999999997 0.7464428000000001
3.563251 0.7421338000000001
3.584071 0.7380524
3.6048910000000003 0.7342192
3.625711 0.7306456
3.646531 0.7273682
3.667351 0.7241536
3.688171 0.7211128000000001
3.708991 0.7185107
3.729811 0.716067
3.750631 0.7138765
3.7714510000000003 0.7121121
3.792271 0.7106939999999999
3.8130910000000005 0.7096461
3.833911 0.7089449999999999
3.8547309999999997 0.7086138000000001
3.875551 0.7088305
3.896371 0.7095587
3.9171910000000003 0.7105285
3.938011 0.711973
3.958831 0.714166
3.979651 0.7167453
4.000471 0.7198097
4.021291000000001 0.7234341
4.042111 0.7275981
4.062931 0.7324696999999999
4.083751 0.7379241
4.104571 0.7440126
4.1253910000000005 0.7505227
4.146211 0.7576109000000001
4.167031 0.7651429
4.187851 0.7732998000000001
4.208671 0.7822332
4.229491 0.7918206
4.250311 0.8019215999999999
4.271131 0.8128498000000001
4.291951 0.8241113999999999
4.312771 0.8358686
4.333591 0.8481248
4.354411 0.8612099
4.375230999999999 0.8748081
4.396051 0.8886613999999999
4.4168709999999995 0.9028629000000001
4.437691 0.9174794
4.458511 0.932651
4.479331 0.9482236999999999
4.500151 0.9642763000000001
4.520971 0.9807060999999999
4.541791 0.9974824000000001
4.562611 1.0142440000000001
4.583431 1.031542
4.6042510000000005 1.049082
4.625071 1.066489
4.645891000000001 1.084092
4.666711 1.1017299999999999
4.687531 1.1193899999999999
4.708351 1.13685
4.729171 1.154145
4.7499910000000005 1.171426
4.770811 1.188267
4.791631 1.204805
4.812451 1.220836
4.833271 1.23622
4.854091 1.251306
4.874911 1.265719
4.895731 1.279374
4.916551 1.2921
4.937371 1.304233
4.958191 1.3155379999999999
4.979011 1.3259370000000001
4.9998309999999995 1.335359
5.020651 1.343856
5.041471 1.351105
5.062291 1.357336
5.083111 1.362977
5.103930999999999 1.3676700000000002
5.124751 1.371176
5.145571 1.373177
5.166391 1.3743290000000001
5.1872110000000005 1.374333
5.208031 1.372391
5.228851000000001 1.371197
5.249671 1.368706
5.270491000000001 1.3648120000000001
5.291311 1.3599569999999999
5.312131 1.354314
5.332951 1.348298
5.353771 1.341227
5.374591000000001 1.3331959999999998
5.395411 1.324586
5.416231 1.315353
5.437051 1.305597
5.457871 1.295549
5.478691 1.285143
5.499511 1.2742149999999999
5.520331 1.262997
5.541151 1.251333
5.561971 1.2395200000000002
5.582791 1.227694
5.603611 1.215517
5.6244309999999995 1.203375
5.645251 1.191414
5.666071 1.179217
5.686891 1.166942
5.707711 1.154919
5.728530999999999 1.143191
5.749351 1.1315629999999999
5.7701709999999995 1.1200370000000002
5.790991 1.1087360000000002
5.811811 1.09768
5.832631 1.086774
5.853451000000001 1.0763
5.874271 1.0664770000000001
5.895091000000001 1.056809
5.915911 1.0472780000000002
5.936731 1.038414
5.9575510000000005 1.029982
5.978371 1.021825
5.999191000000001 1.01426
6.020011 1.007298
6.040831 1.0006620000000002
6.061651 0.9946028
6.082471 0.9889177
6.1032910000000005 0.9835540999999999
6.124111 0.979042
6.144931 0.9749620999999999
6.165751 0.9714226999999999
6.186571 0.9680915000000001
6.207391 0.9652108
6.228211 0.962759
6.249031 0.9607861999999999
6.269851 0.9594374
6.290671 0.9583349
6.311491 0.9575906999999999
6.332311 0.9569759
6.353130999999999 0.956659
6.373951 0.9566648000000001
6.3947709999999995 0.9568460999999999
6.415591 0.9570108
6.436412000000001 0.9576412000000001
6.457232 0.9583558000000001
6.478052 0.9594246
6.498872 0.9605277
6.519692 0.9616928
6.5405120000000005 0.9631187
6.561332000000001 0.9645226999999998
6.582152000000001 0.9661708000000001
6.602972 0.9679040999999999
6.623792 0.9693648000000001
6.6446119999999995 0.9705853000000001
6.665432000000001 0.9720674000000001
6.6862520000000005 0.9734011999999999
6.707072 0.9747578000000001
6.727892 0.9763431
6.748711999999999 0.9775396000000001
6.769532000000001 0.9785963
6.790352 0.9794683000000001
6.811172 0.9800296999999999
6.831992 0.9805371999999999
6.852811999999999 0.9811101000000001
6.873632000000001 0.9814868
6.894452 0.9819041
6.915272 0.9818093000000001
6.9360919999999995 0.9815815
6.956911999999999 0.9812354
6.9777320000000005 0.9812347
6.998552 0.9809271
7.019372 0.9805825999999999
7.040192 0.9797405
