S(Q) d_Q
7.680666 0.934907
7.703996 0.9339609
7.727326 0.9331316
7.750656 0.932375
7.773986 0.931714
7.797316 0.9308699
7.820646 0.9302655
7.843976 0.9296678
7.867306 0.9290654
7.890636 0.9286144
7.913966 0.9280718
7.937296 0.9277432
7.960626 0.9273572
7.983956 0.9269747
8.007286 0.9268998
8.030616 0.9269084
8.053946 0.9270137
8.077276 0.9273765
8.100606 0.9276356
8.123936 0.9279834
8.147266 0.9285336
8.170596 0.9289779
8.193926 0.9293434
8.217256 0.9299406
8.240586 0.9306262
8.263916 0.9312639
8.287246 0.9319779
8.310576 0.9328607
8.333906 0.9341596
8.357236 0.9354608
8.380566 0.9367465
8.403896 0.9379559
8.427226 0.9393351
8.450556 0.9410397
8.473886 0.942747
8.497216 0.9444482
8.520546 0.9464572
8.543876 0.9484823
8.567206 0.9506957
8.590536 0.9529363
8.613866 0.9551296
8.637196 0.9575163
8.660526 0.9597299
8.683856 0.9621439
8.707186 0.9647045
8.730516 0.9671085
8.753846 0.9697773
8.777176 0.9722783
8.800506 0.9746845
8.823836 0.977262
8.847166 0.9798054
8.870496 0.9827684
8.893826 0.985475
8.917156 0.988057
8.940486 0.9909125
8.963816 0.9938092
8.987146 0.9968434
9.010476 0.9999855
9.033806 1.003158
9.057136 1.006596
9.080466 1.010078
9.103796 1.013817
9.127126 1.017476
9.150456 1.021131
9.173786 1.025064
9.197116 1.029032
9.220446 1.033016
9.243776 1.037022
9.267106 1.041351
9.290436 1.045679
9.313766 1.050153
9.337096 1.054633
9.360426 1.059096
9.383756 1.063685
9.407086 1.068521
9.430416 1.073322
9.453746 1.078269
9.477076 1.083058
9.500406 1.088
9.523736 1.093125
9.547066 1.098062
9.570396 1.103155
9.593726 1.108319
9.617056 1.113206
9.640386 1.11849
9.663716 1.123643
9.687046 1.128685
9.710376 1.133777
9.733706 1.138314
9.757036 1.142975
9.780366 1.147705
9.803696 1.152209
9.827026 1.156493
9.850356 1.16041
9.873686 1.164248
9.897016 1.16813
9.920346 1.171852
9.943676 1.175155
9.967006 1.178252
9.990336 1.181129
10.01367 1.183437
10.037 1.185815
10.06033 1.187772
10.08366 1.189425
10.10699 1.191037
10.13032 1.192113
10.15365 1.192826
10.17698 1.193336
10.20031 1.19352
10.22364 1.192971
10.24697 1.192038
10.2703 1.190794
10.29363 1.189101
10.31696 1.187067
10.34029 1.184338
10.36362 1.181487
10.38695 1.178092
10.41028 1.174132
10.43361 1.16979
10.45694 1.165086
10.48027 1.160202
10.5036 1.155229
10.52693 1.150094
10.55026 1.144376
10.57359 1.138086
10.59692 1.131664
10.62025 1.125012
10.64358 1.118165
10.66691 1.110926
10.69024 1.103717
10.71357 1.096174
10.7369 1.088705
10.76023 1.081216
10.78356 1.073504
10.80689 1.065736
10.83022 1.057874
10.85355 1.050124
10.87688 1.042315
10.90021 1.034615
10.92354 1.027225
10.94687 1.019767
10.9702 1.012715
10.99353 1.005782
11.01686 0.9991751
11.04019 0.9925463
11.06352 0.9860019
11.08685 0.9801046
11.11018 0.9742297
11.13351 0.9685753
11.15684 0.9632741
11.18017 0.9578788
11.2035 0.9529095
11.22683 0.9483517
11.25016 0.9439554
11.27349 0.9395479
11.29682 0.9356952
11.32015 0.9319762
11.34348 0.9287213
11.36681 0.9262205
11.39014 0.9235602
11.41347 0.9213248
11.4368 0.9195259
11.46013 0.917861
11.48346 0.916725
11.50679 0.915695
11.53012 0.9150583
11.55345 0.9150678
11.57678 0.9154595
11.60011 0.9160583
11.62344 0.9168281
11.64677 0.9177757
11.6701 0.9186702
11.69343 0.9200296
11.71676 0.9216813
11.74009 0.9235096
11.76342 0.9257711
11.78675 0.9280053
11.81008 0.9301763
11.83341 0.9324257
11.85674 0.9346604
11.88007 0.937019
11.9034 0.9392963
11.92673 0.9418299
11.95006 0.944002
11.97339 0.9461153
11.99672 0.9483715
12.02005 0.9503269
12.04338 0.9522019
12.06671 0.9541882
12.09004 0.9561535
12.11337 0.9582236
12.1367 0.9602422
12.16003 0.9625458
12.18336 0.9647786
12.20669 0.966628
12.23002 0.9685058
12.25335 0.9703136
12.27668 0.9717305
12.30001 0.97342
12.32334 0.9753713
12.34667 0.9777173
12.37 0.9795777
12.39333 0.9815587
12.41666 0.9835126
12.43999 0.9851965
12.46332 0.986478
12.48665 0.9882875
12.50998 0.9902986
12.53331 0.9920149
12.55664 0.9938209
12.57997 0.9950984
12.6033 0.9961194
12.62663 0.9968718
12.64996 0.9974344
12.67329 0.9977187
12.69662 0.9979677
12.71995 0.9982892
12.74328 0.9987169
12.76661 0.9988184
12.78994 0.9985335
12.81327 0.9986336
12.8366 0.9981735
12.85993 0.9977112
12.88326 0.9977073
12.90659 0.9976193
12.92992 0.9974128
12.95325 0.9970531
12.97658 0.9967292
12.99991 0.9964765
13.02324 0.996063
13.04657 0.9954939
13.0699 0.99505
13.09323 0.9950657
13.11656 0.9950691
13.13989 0.9951197
13.16322 0.9951342
13.18655 0.9948536
13.20988 0.9943793
13.23321 0.9940685
13.25654 0.9939386
13.27987 0.9941708
13.3032 0.994089
13.32653 0.9940429
13.34986 0.9941856
13.37319 0.9942346
13.39652 0.9941594
13.41985 0.9940437
13.44318 0.9938161
13.46651 0.9937362
13.48984 0.9940098
13.51317 0.9944626
13.5365 0.9947483
13.55983 0.9952919
13.58316 0.9954296
13.60649 0.9956934
13.62982 0.9960661
13.65315 0.9964432
13.67648 0.9968522
13.69981 0.9974781
13.72314 0.9979746
13.74647 0.9983101
13.7698 0.999019
13.79313 0.9993963
13.81646 0.9998247
13.83979 1.000733
13.86312 1.001523
13.88645 1.002392
13.90978 1.003212
13.93311 1.004107
13.95644 1.004788
13.97977 1.005432
14.0031 1.00584
14.02643 1.006643
14.04976 1.007997
14.07309 1.009134
14.09642 1.009807
14.11975 1.010548
14.14308 1.011513
14.16641 1.012206
14.18974 1.013139
14.21307 1.014271
14.2364 1.01528
14.25973 1.016837
14.28306 1.018598
14.30639 1.020639
14.32972 1.022431
14.35305 1.024481
14.37638 1.026576
14.39971 1.028611
14.42304 1.03037
14.44637 1.032676
14.4697 1.034662
14.49303 1.036613
14.51636 1.038725
14.53969 1.040367
14.56302 1.042148
14.58635 1.043818
14.60968 1.045645
14.63301 1.047526
14.65634 1.049005
14.67967 1.050709
14.703 1.051961
14.72633 1.05325
14.74966 1.054734
14.77299 1.055851
14.79632 1.05705
14.81965 1.058443
14.84298 1.059377
14.86631 1.060342
14.88964 1.060837
14.91297 1.061227
14.9363 1.062165
14.95963 1.062562
14.98296 1.062777
15.00629 1.063251
15.02962 1.063343
