# frac_cluster_size	cum_prob
2.564102564102564014e-02 4.162113227068446886e-01
5.128205128205128027e-02 5.750697834825999610e-01
7.692307692307692735e-02 6.233847413969629825e-01
1.025641025641025605e-01 6.394753575393105072e-01
1.282051282051281937e-01 6.579046633687909429e-01
1.538461538461538547e-01 6.693717869960231770e-01
1.794871794871794879e-01 6.784032245896516322e-01
2.051282051282051211e-01 6.858288337805943380e-01
2.307692307692307820e-01 6.890943774451162573e-01
2.564102564102563875e-01 6.922413700195070296e-01
2.820512820512820484e-01 6.950973735544849763e-01
3.076923076923077094e-01 6.974576179852780555e-01
3.333333333333333148e-01 6.987832347203810635e-01
3.589743589743589758e-01 6.995915376076389247e-01
3.846153846153846367e-01 7.001304061991442396e-01
4.102564102564102422e-01 7.015314645370579472e-01
4.358974358974359031e-01 7.023613221679760876e-01
4.615384615384615641e-01 7.027600849256899762e-01
4.871794871794871695e-01 7.035252783256275011e-01
5.128205128205127750e-01 7.046892344832789146e-01
5.384615384615384359e-01 7.054436505113863554e-01
5.641025641025640969e-01 7.066722709000183844e-01
5.897435897435897578e-01 7.085690883421169595e-01
6.153846153846154188e-01 7.104120189250650030e-01
6.410256410256410797e-01 7.140332158599804746e-01
6.666666666666666297e-01 7.190231390173192905e-01
6.923076923076922906e-01 7.261146496815287232e-01
7.179487179487179516e-01 7.363962624074493757e-01
7.435897435897436125e-01 7.449534956405531316e-01
7.692307692307692735e-01 7.546531302876481329e-01
7.948717948717948234e-01 7.681571771907703683e-01
8.205128205128204844e-01 7.831700561501073743e-01
8.461538461538461453e-01 8.075053617424856611e-01
8.717948717948718063e-01 8.275404959746518463e-01
8.974358974358974672e-01 8.600450494142500846e-01
9.230769230769231282e-01 8.844342418657789029e-01
9.487179487179486781e-01 9.100412773341095551e-01
9.743589743589743390e-01 9.495618998351064155e-01
1.000000000000000000e+00 1.000000000000000222e+00
