# Output from lmp_rdf_msd_13
         0        0.0000000000        0.0000000000        0.0000000000
         1        1.1636910491        0.5392486925        1.9049941135
         2        1.6829309158        0.7369685693        2.8737495832
         3        2.1214290245        0.8904600993        3.7112979191
         4        2.5249860914        1.0364357086        4.4833416618
         5        2.8974422922        1.1681570370        5.2056637906
         6        3.2469941897        1.2902994637        5.9055638989
         7        3.5818325454        1.4045407394        6.5845511989
         8        3.9077590251        1.5162353531        7.2473311775
         9        4.2228637931        1.6247788731        7.9009806031
        10        4.5216985142        1.7301916263        8.5318303397
        11        4.8224043146        1.8358019497        9.1527410004
        12        5.1135862510        1.9412082907        9.7575653570
        13        5.3965808507        2.0371305474       10.3608714876
        14        5.6764406287        2.1327389698       10.9560000193
        15        5.9467772771        2.2269425888       11.5288200114
        16        6.2120565676        2.3220250918       12.0990083125
        17        6.4734868032        2.4145722766       12.6633064580
        18        6.7274779880        2.5053648558       13.2260695844
        19        6.9836567807        2.5894995068       13.7733900889
        20        7.2306049988        2.6716465593       14.3149721334
        21        7.4799343621        2.7563771117       14.8697029839
        22        7.7265186922        2.8432643661       15.4050328561
        23        7.9595067998        2.9294311199       15.9448861697
        24        8.1964193773        3.0149731861       16.4721326623
        25        8.4348616305        3.0995962215       17.0055850500
        26        8.6627197675        3.1817707764       17.5352422868
        27        8.8948218706        3.2638945811       18.0728383959
        28        9.1233204075        3.3424314286       18.5992235329
        29        9.3494731589        3.4205809153       19.1258555265
        30        9.5817497054        3.5003314235       19.6481614833
        31        9.8076862607        3.5805928788       20.1682898080
        32       10.0328009553        3.6601392295       20.6854222085
        33       10.2564053082        3.7392534327       21.2029148384
        34       10.4828503191        3.8195827094       21.7204281293
        35       10.7074191845        3.9025881219       22.2226060437
        36       10.9339636356        3.9797036801       22.7276312438
        37       11.1541553637        4.0595681681       23.2339742485
        38       11.3749000371        4.1405729704       23.7426312861
        39       11.6005219538        4.2183342824       24.2525390998
        40       11.8156676049        4.2955669177       24.7600595624
        41       12.0230153929        4.3749317740       25.2619947715
        42       12.2380803050        4.4541172989       25.7603953111
        43       12.4538344525        4.5349012278       26.2643314707
        44       12.6706368933        4.6107548316       26.7650615754
        45       12.8904530460        4.6929270964       27.2689963708
        46       13.1090515848        4.7690690931       27.7675433831
        47       13.3302213739        4.8464501667       28.2638215754
        48       13.5408419905        4.9224800063       28.7614075747
        49       13.7556376464        4.9997970966       29.2666333289
        50       13.9692554723        5.0766331945       29.7569351573
        51       14.1733714753        5.1517628792       30.2443922993
        52       14.3795699169        5.2279936810       30.7371186691
        53       14.5908004523        5.3055721249       31.2219086435
        54       14.7980128793        5.3819306652       31.7162167250
        55       15.0085329617        5.4557944842       32.2065202382
        56       15.2224568938        5.5300632193       32.6959736771
        57       15.4326408961        5.6072328855       33.1841602224
        58       15.6551327971        5.6837805680       33.6736019044
        59       15.8666746974        5.7538273783       34.1665287452
        60       16.0736219376        5.8261276258       34.6567260188
        61       16.2825834109        5.9001153949       35.1389156964
        62       16.4982307955        5.9738642017       35.6308955021
        63       16.7081334420        6.0459974635       36.1235058586
        64       16.9198550328        6.1182145170       36.6092301833
        65       17.1262241987        6.1928614431       37.0970756091
        66       17.3323954730        6.2653848205       37.5815672572
        67       17.5419362747        6.3374436815       38.0680970729
        68       17.7459900424        6.4021124164       38.5509252017
        69       17.9521638886        6.4725099122       39.0349465152
        70       18.1545644957        6.5359154455       39.5095327042
        71       18.3666217242        6.6105240071       39.9844616491
        72       18.5799459246        6.6809332990       40.4606188055
        73       18.7839620955        6.7492971572       40.9377584966
        74       18.9854482787        6.8219827989       41.4193737492
        75       19.1948225606        6.8928239062       41.8943490992
        76       19.3968683836        6.9581000892       42.3686366461
        77       19.5967474697        7.0290607813       42.8367422042
        78       19.7948297813        7.0946344998       43.3072771874
        79       20.0031761996        7.1645148205       43.7750446070
        80       20.2125114250        7.2320062004       44.2422540439
        81       20.4211201438        7.2955320380       44.7140416020
        82       20.6344599343        7.3659044758       45.1795960733
        83       20.8394867594        7.4348125529       45.6493288903
        84       21.0539848536        7.5048912635       46.1254449263
        85       21.2669169513        7.5708350606       46.5923078547
        86       21.4785319636        7.6405898434       47.0576168140
        87       21.6876507134        7.7077832671       47.5164115699
        88       21.8977149483        7.7784572546       47.9774065700
        89       22.1120332664        7.8512650877       48.4432178849
        90       22.3248338249        7.9206457348       48.9127135894
        91       22.5395274310        7.9914526121       49.3697000279
        92       22.7498068653        8.0629358328       49.8323441024
        93       22.9575911204        8.1314940972       50.2916211548
        94       23.1628664893        8.1992940226       50.7540943021
        95       23.3637800608        8.2719774922       51.2134987109
        96       23.5651233744        8.3431113920       51.6719413186
        97       23.7649891428        8.4164237054       52.1353603130
        98       23.9654589381        8.4885670556       52.5989352258
        99       24.1654662746        8.5596063251       53.0576195365
       100       24.3692706099        8.6325436877       53.5190563769
       101       24.5727663585        8.7108790334       53.9839309247
       102       24.7780351253        8.7857675043       54.4514026630
       103       24.9883659633        8.8598833677       54.9183271843
       104       25.1914461782        8.9349168126       55.3859625713
       105       25.3962482906        9.0074926931       55.8495322250
       106       25.5991001201        9.0794047798       56.3111995128
       107       25.8016957196        9.1523116225       56.7775825945
       108       26.0073920000        9.2255135386       57.2492912571
       109       26.2087001801        9.2975050398       57.7179881331
       110       26.4080599261        9.3667009499       58.1798273431
       111       26.6114395682        9.4355475450       58.6484418960
       112       26.8170902290        9.5034408514       59.1198773857
       113       27.0259185595        9.5726626069       59.5895643522
       114       27.2358422742        9.6441628910       60.0521365320
