# cluster_size   prob
0.000000000000000000e+00 1.059736695398602081e-02
1.000000000000000000e+00 1.023603070457566738e-01
2.000000000000000000e+00 2.438517946738710807e-01
3.000000000000000000e+00 3.122235087267893339e-01
4.000000000000000000e+00 2.132218362708520887e-01
5.000000000000000000e+00 9.033749303143359666e-02
6.000000000000000000e+00 2.351730348642737736e-02
7.000000000000000000e+00 3.572194347956601790e-03
8.000000000000000000e+00 3.036150778335263258e-04
9.000000000000000000e+00 1.458038509370041516e-05
