# cluster_size   prob
0.000000000000000000e+00 9.250000000000000409e-04
1.000000000000000000e+00 2.012361111111110948e-02
2.000000000000000000e+00 1.361166666666666636e-01
3.000000000000000000e+00 3.701527777777777750e-01
4.000000000000000000e+00 3.812930555555555379e-01
5.000000000000000000e+00 8.517083333333333450e-02
6.000000000000000000e+00 6.163888888888888890e-03
7.000000000000000000e+00 5.416666666666666418e-05
