# frac_cluster_size	cum_prob
2.564102564102564014e-02 4.096376366869896035e-01
5.128205128205128027e-02 5.304664716501887867e-01
7.692307692307692735e-02 6.087157134601686170e-01
1.025641025641025605e-01 6.604988599151543349e-01
1.282051282051281937e-01 6.964372908537868057e-01
1.538461538461538547e-01 7.305569616850855486e-01
1.794871794871794879e-01 7.588866141943921839e-01
2.051282051282051211e-01 7.778850418180431880e-01
2.307692307692307820e-01 7.911136097908424425e-01
2.564102564102563875e-01 8.043824951059225237e-01
2.820512820512820484e-01 8.143856756962579713e-01
3.076923076923077094e-01 8.236922622060752763e-01
3.333333333333333148e-01 8.328017417091864161e-01
3.589743589743589758e-01 8.409660035210477780e-01
3.846153846153846367e-01 8.483709553866207731e-01
4.102564102564102422e-01 8.573751618293320442e-01
4.358974358974359031e-01 8.662516966881541602e-01
4.615384615384615641e-01 8.751595894798612774e-01
4.871794871794871695e-01 8.829677147682423177e-01
5.128205128205127750e-01 8.906526481774319493e-01
5.384615384615384359e-01 8.975379542980524983e-01
5.641025641025640969e-01 9.036505113582911086e-01
5.897435897435897578e-01 9.095883599353129512e-01
6.153846153846154188e-01 9.164781457606313575e-01
6.410256410256410797e-01 9.238562193980172088e-01
6.666666666666666297e-01 9.319443262300148856e-01
6.923076923076922906e-01 9.410986027801047094e-01
7.179487179487179516e-01 9.500087354241608661e-01
7.435897435897436125e-01 9.574562444843636166e-01
7.692307692307692735e-01 9.653875616519359548e-01
7.948717948717948234e-01 9.720533622423610520e-01
8.205128205128204844e-01 9.775813178395280634e-01
8.461538461538461453e-01 9.826232254769765584e-01
8.717948717948718063e-01 9.878689596781780047e-01
8.974358974358974672e-01 9.920754023894744478e-01
9.230769230769231282e-01 9.952022362685851720e-01
9.487179487179486781e-01 9.974868856644969473e-01
9.743589743589743390e-01 9.991398966980096219e-01
1.000000000000000000e+00 1.000000000000000000e+00
