# cluster_size   prob
0.000000000000000000e+00 1.783900000000000069e-02
1.000000000000000000e+00 9.914349999999999552e-02
2.000000000000000000e+00 2.476140000000000008e-01
3.000000000000000000e+00 3.128974999999999951e-01
4.000000000000000000e+00 2.113379999999999981e-01
5.000000000000000000e+00 8.530200000000000282e-02
6.000000000000000000e+00 2.181100000000000053e-02
7.000000000000000000e+00 3.625499999999999817e-03
8.000000000000000000e+00 3.989999999999999949e-04
9.000000000000000000e+00 2.949999999999999877e-05
1.000000000000000000e+01 9.999999999999999547e-07
