# frac_cluster_size	cum_prob
2.000000000000000042e-02 4.270257330939556950e-01
4.000000000000000083e-02 4.866187911430280844e-01
5.999999999999999778e-02 5.042010771992818663e-01
8.000000000000000167e-02 5.116217833632555889e-01
1.000000000000000056e-01 5.153201675643327428e-01
1.199999999999999956e-01 5.175463794135248818e-01
1.400000000000000133e-01 5.188031119090364962e-01
1.600000000000000033e-01 5.195571514063435092e-01
1.799999999999999933e-01 5.200359066427289179e-01
2.000000000000000111e-01 5.203590664272890187e-01
2.200000000000000011e-01 5.206104129263913194e-01
2.399999999999999911e-01 5.207779772591262235e-01
2.600000000000000089e-01 5.208617594254936201e-01
2.800000000000000266e-01 5.209455415918610166e-01
2.999999999999999889e-01 5.210053859964092204e-01
3.200000000000000067e-01 5.210412926391381205e-01
3.400000000000000244e-01 5.211131059245959207e-01
3.599999999999999867e-01 5.211490125673248208e-01
3.800000000000000044e-01 5.211849192100537209e-01
4.000000000000000222e-01 5.212327947336922174e-01
4.799999999999999822e-01 5.212447636146018137e-01
5.000000000000000000e-01 5.212567324955114101e-01
5.200000000000000178e-01 5.212687013764210064e-01
5.799999999999999600e-01 5.212926391382403102e-01
5.999999999999999778e-01 5.213165769000596139e-01
6.199999999999999956e-01 5.214003590664270105e-01
6.400000000000000133e-01 5.214482345900655069e-01
6.600000000000000311e-01 5.215080789946137108e-01
6.800000000000000488e-01 5.216038300418908147e-01
6.999999999999999556e-01 5.216876122082582112e-01
7.199999999999999734e-01 5.218791143028124191e-01
7.399999999999999911e-01 5.220945541591858197e-01
7.600000000000000089e-01 5.224655894673845280e-01
7.800000000000000266e-01 5.229802513464988367e-01
8.000000000000000444e-01 5.238061041292636499e-01
8.199999999999999512e-01 5.252184320766005721e-01
8.399999999999999689e-01 5.273488928785156071e-01
8.599999999999999867e-01 5.307121484141230638e-01
8.800000000000000044e-01 5.369958108916813577e-01
9.000000000000000222e-01 5.478156792339913261e-01
9.200000000000000400e-01 5.681986834230996486e-01
9.399999999999999467e-01 6.101256732495509150e-01
9.599999999999999645e-01 6.940275284260919442e-01
9.799999999999999822e-01 8.372950329144223103e-01
1.000000000000000000e+00 9.999999999999997780e-01
