# frac_cluster_size	cum_prob
2.000000000000000042e-02 3.102299850130442183e-01
4.000000000000000083e-02 3.586569714014345989e-01
5.999999999999999778e-02 3.757470349880659977e-01
8.000000000000000167e-02 3.845850216786624309e-01
1.000000000000000056e-01 3.882546672340740912e-01
1.199999999999999956e-01 3.903022677792785666e-01
1.400000000000000133e-01 3.921216718781801447e-01
1.600000000000000033e-01 3.944653110564262377e-01
1.799999999999999933e-01 3.954521064998982594e-01
2.000000000000000111e-01 3.958406572057653894e-01
2.200000000000000011e-01 3.961798681394588795e-01
2.399999999999999911e-01 3.964574043579354168e-01
2.600000000000000089e-01 3.967041032188034499e-01
2.800000000000000266e-01 3.970618165670620758e-01
2.999999999999999889e-01 3.979005926940132887e-01
3.200000000000000067e-01 3.980486120105340975e-01
3.400000000000000244e-01 3.982027987985766182e-01
3.599999999999999867e-01 3.983631530581408509e-01
3.800000000000000044e-01 3.986345218050956762e-01
4.000000000000000222e-01 3.991525894129184793e-01
4.199999999999999845e-01 4.001948921000857973e-01
4.400000000000000022e-01 4.005526054483444232e-01
4.600000000000000200e-01 4.007684669516039522e-01
4.799999999999999822e-01 4.010275007555153537e-01
5.000000000000000000e-01 4.014098839898607718e-01
5.200000000000000178e-01 4.016442479076853811e-01
5.400000000000000355e-01 4.018477744679014863e-01
5.600000000000000533e-01 4.022363251737686163e-01
5.799999999999999600e-01 4.034204797059350867e-01
5.999999999999999778e-01 4.036548436237596960e-01
6.199999999999999956e-01 4.038337002978890089e-01
6.400000000000000133e-01 4.040618967441919063e-01
6.600000000000000311e-01 4.044442799785373244e-01
6.800000000000000488e-01 4.047464860831006539e-01
6.999999999999999556e-01 4.052953910485319611e-01
7.199999999999999734e-01 4.055790947385301548e-01
7.399999999999999911e-01 4.060169852165708693e-01
7.600000000000000089e-01 4.062266792483086864e-01
7.800000000000000266e-01 4.066090624826541045e-01
8.000000000000000444e-01 4.070716228467816111e-01
8.199999999999999512e-01 4.087985148728576767e-01
8.399999999999999689e-01 4.115368722284926117e-01
8.599999999999999867e-01 4.136461474889140955e-01
8.800000000000000044e-01 4.171122664841096506e-01
9.000000000000000222e-01 4.250312999179727824e-01
9.200000000000000400e-01 4.404376437791799881e-01
9.399999999999999467e-01 4.685243090890029438e-01
9.599999999999999645e-01 5.352933557829298028e-01
9.799999999999999822e-01 6.933656508841071764e-01
1.000000000000000000e+00 1.000000000000000000e+00
