# frac_cluster_size	cum_prob
7.142857142857142461e-02 3.418393930536669512e-01
1.428571428571428492e-01 4.321950971546213438e-01
2.142857142857142738e-01 4.708917383624140474e-01
2.857142857142856984e-01 4.939318074953297222e-01
3.571428571428571508e-01 5.092071318735782448e-01
4.285714285714285476e-01 5.239868342462097317e-01
5.000000000000000000e-01 5.384361219484298244e-01
5.714285714285713969e-01 5.539529032012097121e-01
6.428571428571429047e-01 5.737269503996745845e-01
7.142857142857143016e-01 6.014690744576750570e-01
7.857142857142856984e-01 6.458717228583409353e-01
8.571428571428570953e-01 7.161356733469733671e-01
9.285714285714286031e-01 8.368514023561106630e-01
1.000000000000000000e+00 9.999999999999998890e-01
