# frac_cluster_size	cum_prob
2.000000000000000042e-02 4.802455126882607672e-01
4.000000000000000083e-02 5.599339797813079889e-01
5.999999999999999778e-02 5.831132659376934146e-01
8.000000000000000167e-02 5.929750361048070628e-01
1.000000000000000056e-01 5.980090777800700641e-01
1.199999999999999956e-01 6.010006189395501464e-01
1.400000000000000133e-01 6.030946977511861817e-01
1.600000000000000033e-01 6.043841551475137575e-01
1.799999999999999933e-01 6.053435114503815662e-01
2.000000000000000111e-01 6.059521353414482059e-01
2.200000000000000011e-01 6.063028677532493749e-01
2.399999999999999911e-01 6.064988652774911948e-01
2.600000000000000089e-01 6.067051784609036602e-01
2.800000000000000266e-01 6.069527542809985965e-01
2.999999999999999889e-01 6.070662265318754747e-01
3.200000000000000067e-01 6.072312770786053582e-01
3.400000000000000244e-01 6.073447493294822364e-01
3.599999999999999867e-01 6.074788528987002945e-01
3.800000000000000044e-01 6.075923251495771726e-01
4.000000000000000222e-01 6.076748504229421144e-01
4.199999999999999845e-01 6.077264287187952307e-01
4.400000000000000022e-01 6.078192696513308180e-01
4.600000000000000200e-01 6.079533732205488761e-01
4.799999999999999822e-01 6.080049515164019924e-01
5.000000000000000000e-01 6.081184237672788706e-01
5.200000000000000178e-01 6.082215803589851033e-01
5.400000000000000355e-01 6.083247369506913360e-01
5.600000000000000533e-01 6.083763152465444524e-01
5.799999999999999600e-01 6.084897874974213305e-01
5.999999999999999778e-01 6.086754693624925050e-01
6.199999999999999956e-01 6.088405199092223885e-01
6.400000000000000133e-01 6.090158861151229175e-01
6.600000000000000311e-01 6.092118836393647374e-01
6.800000000000000488e-01 6.093459872085827955e-01
6.999999999999999556e-01 6.096348256653602027e-01
7.199999999999999734e-01 6.099649267588200807e-01
7.399999999999999911e-01 6.104600783990098423e-01
7.600000000000000089e-01 6.112234371776358310e-01
7.800000000000000266e-01 6.123375283680628778e-01
8.000000000000000444e-01 6.139777181761916225e-01
8.199999999999999512e-01 6.166082112647000013e-01
8.399999999999999689e-01 6.204250051578297231e-01
8.599999999999999867e-01 6.266762946152260039e-01
8.800000000000000044e-01 6.369713224675057628e-01
9.000000000000000222e-01 6.542913142149784367e-01
9.200000000000000400e-01 6.847431400866516027e-01
9.399999999999999467e-01 7.352692387043532340e-01
9.599999999999999645e-01 8.153909634825665664e-01
9.799999999999999822e-01 9.171858881782546380e-01
1.000000000000000000e+00 1.000000000000000000e+00
