# cluster_size   prob
0.000000000000000000e+00 2.450057888643300541e-02
1.000000000000000000e+00 1.254925797284496269e-01
2.000000000000000000e+00 2.791348279128512688e-01
3.000000000000000000e+00 3.012651299863172150e-01
4.000000000000000000e+00 1.825460477844437490e-01
5.000000000000000000e+00 6.853857488685401178e-02
6.000000000000000000e+00 1.594463740658878109e-02
7.000000000000000000e+00 2.341858751710346360e-03
8.000000000000000000e+00 2.247131880854646849e-04
9.000000000000000000e+00 1.052520787285548825e-05
1.000000000000000000e+01 5.262603936427744973e-07
